Class_ID,Class_Name,Count,Detection_Date,Student_ID
0,chai,38,13-03-2025 16:29:32,2
1,giay,209,13-03-2025 16:29:32,2
6,nhua,1,13-03-2025 16:29:32,2
7,thucan,2,13-03-2025 16:29:32,2
